PRENEI_MENS,PRELIQ_MENS,PRETOTM_MENS,T_MENS,EVAP_MENS,ETP_MENS,PE_MENS,SWI_MENS,DRAINC_MENS,RUNC_MENS,ECOULEMENT_MENS,ville,Annee,Mois,longitude,latitude,Departement,distance_km
0.0,66.1,66.1,17.1,94.2,103.1,-28.1,0.76,22.8,7.0,0.0,Ville 7603,1965,6,5.65,45.25,Isere,10.181604963135706
0.0,84.5,84.5,17.8,103.0,111.1,-18.5,0.52,4.2,4.1,0.0,Ville 7603,1965,7,5.65,45.25,Isere,10.181604963135706
0.0,129.1,129.1,17.3,79.5,98.7,49.6,0.48,7.1,9.9,0.0,Ville 7603,1965,8,5.65,45.25,Isere,10.181604963135706
0.0,178.1,178.1,13.1,58.5,49.7,119.6,0.8,25.6,21.1,0.0,Ville 7603,1965,9,5.65,45.25,Isere,10.181604963135706
0.0,26.9,26.9,10.9,32.3,26.3,-5.4,0.8,24.2,3.0,0.0,Ville 7603,1965,10,5.65,45.25,Isere,10.181604963135706
41.1,108.6,149.7,4.7,10.3,9.3,139.4,0.87,41.2,35.5,69.0,Ville 7603,1965,11,5.65,45.25,Isere,10.181604963135706
52.4,176.3,228.7,2.2,4.9,6.8,223.8,1.05,133.8,72.8,121.8,Ville 7603,1965,12,5.65,45.25,Isere,10.181604963135706
24.6,67.7,92.3,-1.0,1.5,7.1,90.8,0.99,72.5,50.2,52.5,Ville 7603,1966,1,5.65,45.25,Isere,10.181604963135706
0.5,117.8,118.3,6.0,11.8,13.7,106.5,1.0,74.5,18.7,0.5,Ville 7603,1966,2,5.65,45.25,Isere,10.181604963135706
30.8,39.9,70.7,4.4,37.4,43.9,33.3,0.92,53.9,8.7,39.5,Ville 7603,1966,3,5.65,45.25,Isere,10.181604963135706
0.0,127.4,127.4,10.4,50.7,49.8,76.7,0.93,57.9,17.8,0.0,Ville 7603,1966,4,5.65,45.25,Isere,10.181604963135706
0.0,100.8,100.8,13.6,88.4,91.8,12.4,0.88,54.4,13.8,0.0,Ville 7603,1966,5,5.65,45.25,Isere,10.181604963135706
0.0,81.7,81.7,17.9,106.2,121.8,-24.5,0.59,7.8,5.5,0.0,Ville 7603,1966,6,5.65,45.25,Isere,10.181604963135706
0.0,129.4,129.4,17.1,106.3,110.3,23.1,0.59,8.3,9.6,0.0,Ville 7603,1966,7,5.65,45.25,Isere,10.181604963135706
0.0,74.4,74.4,16.9,78.8,84.0,-4.4,0.51,3.9,3.4,0.0,Ville 7603,1966,8,5.65,45.25,Isere,10.181604963135706
0.0,18.5,18.5,16.7,48.1,76.9,-29.6,0.39,1.4,0.5,0.0,Ville 7603,1966,9,5.65,45.25,Isere,10.181604963135706
0.0,125.9,125.9,12.7,28.3,27.4,97.6,0.45,8.0,11.0,0.0,Ville 7603,1966,10,5.65,45.25,Isere,10.181604963135706
51.9,93.1,145.0,2.7,11.2,13.2,133.8,0.84,29.5,31.7,69.7,Ville 7603,1966,11,5.65,45.25,Isere,10.181604963135706
48.9,88.8,137.7,0.7,2.9,7.0,134.8,0.98,61.9,64.0,94.1,Ville 7603,1966,12,5.65,45.25,Isere,10.181604963135706
12.3,43.9,56.2,-0.3,1.8,7.9,54.4,0.96,31.8,39.4,45.3,Ville 7603,1967,1,5.65,45.25,Isere,10.181604963135706
12.8,65.6,78.4,2.8,8.5,12.4,69.9,0.94,28.9,29.9,26.3,Ville 7603,1967,2,5.65,45.25,Isere,10.181604963135706
0.1,70.5,70.6,7.2,35.3,39.2,35.3,0.93,56.7,9.2,0.1,Ville 7603,1967,3,5.65,45.25,Isere,10.181604963135706
4.1,25.1,29.2,8.6,54.5,62.6,-25.3,0.78,19.5,2.2,4.3,Ville 7603,1967,4,5.65,45.25,Isere,10.181604963135706
0.0,157.8,157.8,13.2,74.0,72.8,83.8,0.73,13.6,16.2,0.0,Ville 7603,1967,5,5.65,45.25,Isere,10.181604963135706
0.0,89.1,89.1,16.0,106.8,109.8,-17.7,0.82,29.4,10.0,0.0,Ville 7603,1967,6,5.65,45.25,Isere,10.181604963135706
0.0,54.5,54.5,21.3,111.9,139.2,-57.4,0.53,6.0,2.6,0.0,Ville 7603,1967,7,5.65,45.25,Isere,10.181604963135706
0.0,39.9,39.9,19.3,63.9,101.0,-24.0,0.35,1.1,1.0,0.0,Ville 7603,1967,8,5.65,45.25,Isere,10.181604963135706
0.0,93.3,93.3,14.5,45.6,51.9,47.7,0.38,3.9,5.7,0.0,Ville 7603,1967,9,5.65,45.25,Isere,10.181604963135706
